0.0000 	 0.0870
0.0001 	 0.0069
0.0003 	 0.0093
0.0004 	 0.0255
0.0005 	 -0.0580
0.0007 	 -0.1628
0.0008 	 -0.0968
0.0009 	 0.1288
0.0010 	 0.2252
0.0012 	 -0.0008
0.0013 	 -0.2509
0.0014 	 0.0859
0.0016 	 1.2220
0.0017 	 2.5545
0.0018 	 3.2010
0.0020 	 2.9636
0.0021 	 2.4986
0.0022 	 2.4260
0.0023 	 2.5716
0.0025 	 2.3583
0.0026 	 1.7058
0.0027 	 1.1198
0.0029 	 0.9504
0.0030 	 1.0031
0.0031 	 0.9768
0.0033 	 0.8884
0.0034 	 0.8642
0.0035 	 0.8285
0.0036 	 0.6718
0.0038 	 0.5142
0.0039 	 0.5262
0.0040 	 0.6320
0.0042 	 0.6464
0.0043 	 0.5839
0.0044 	 0.5750
0.0046 	 0.5745
0.0047 	 0.4299
0.0048 	 0.1879
0.0049 	 0.0558
0.0051 	 0.0697
0.0052 	 0.0693
0.0053 	 0.0089
0.0055 	 0.0212
0.0056 	 0.1236
0.0057 	 0.1350
0.0059 	 -0.0167
0.0060 	 -0.1478
0.0061 	 -0.1094
0.0063 	 -0.0082
0.0064 	 0.0124
0.0065 	 0.0103
0.0066 	 0.0839
0.0068 	 0.1440
0.0069 	 0.0585
0.0070 	 -0.0958
0.0072 	 -0.1399
0.0073 	 -0.0705
0.0074 	 -0.0228
0.0076 	 -0.0173
0.0077 	 0.0403
0.0078 	 0.1301
0.0079 	 0.1106
0.0081 	 -0.0333
0.0082 	 -0.1324
0.0083 	 -0.0870
0.0085 	 -0.0069
0.0086 	 -0.0093
0.0087 	 -0.0255
0.0089 	 0.0580
0.0090 	 0.1628
0.0091 	 0.0968
0.0092 	 -0.1288
0.0094 	 -0.2252
0.0095 	 0.0008
0.0096 	 0.2509
0.0098 	 -0.0859
0.0099 	 -1.2220
0.0100 	 -2.5545
0.0102 	 -3.2010
0.0103 	 -2.9636
0.0104 	 -2.4986
0.0105 	 -2.4260
0.0107 	 -2.5716
0.0108 	 -2.3583
0.0109 	 -1.7058
0.0111 	 -1.1198
0.0112 	 -0.9504
0.0113 	 -1.0031
0.0115 	 -0.9768
0.0116 	 -0.8884
0.0117 	 -0.8642
0.0118 	 -0.8285
0.0120 	 -0.6718
0.0121 	 -0.5142
0.0122 	 -0.5262
0.0124 	 -0.6320
0.0125 	 -0.6464
0.0126 	 -0.5839
0.0128 	 -0.5750
0.0129 	 -0.5745
0.0130 	 -0.4299
0.0132 	 -0.1879
0.0133 	 -0.0558
0.0134 	 -0.0697
0.0135 	 -0.0693
0.0137 	 -0.0089
0.0138 	 -0.0212
0.0139 	 -0.1236
0.0141 	 -0.1350
0.0142 	 0.0167
0.0143 	 0.1478
0.0145 	 0.1094
0.0146 	 0.0082
0.0147 	 -0.0124
0.0148 	 -0.0103
0.0150 	 -0.0839
0.0151 	 -0.1440
0.0152 	 -0.0585
0.0154 	 0.0958
0.0155 	 0.1399
0.0156 	 0.0705
0.0158 	 0.0228
0.0159 	 0.0173
0.0160 	 -0.0403
0.0161 	 -0.1301
0.0163 	 -0.1106
0.0164 	 0.0333
0.0165 	 0.1324
0.0167 	 0.0870
0.0168 	 0.0069
